Input.qasrl_id,Input.adj_index_start,Input.sentence,Input.target,Input.adj_index_end,object_q,comparison_q,domain_q,degree_q,Answer.answer1,Answer.answer2,Answer.answer3,Answer.answer4,Answer.answer1_c,Answer.answer2_c,Answer.answer3_c,Answer.answer4_c,Answer.answer1_a,Answer.answer2_a,Answer.answer3_a,Answer.answer4_a,Answer.answer1_j,Answer.answer2_j,Answer.answer3_j,Answer.answer4_j,args_list,args_indexes,args_strings,tp,captured_args,missed_args,tp_plus_fp,tp_plus_fn,all_args
google/ewt/newsgroup/00/groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100.xml16,20,I promise you that if you follow the directions exactly that you will start making more money than you thought possible by doing something so easy !!,possible,20,What was possible ?,,,,making money,,,,making money,,,you thought possible,making more money,,,more  than you thought possible,start making more money than you thought,,,,"['*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*'
 '(ARG1*)' '*' '(V*)' '*' '*' '*' '*' '*' '*']","{'ARG1': [[18, 18]]}",{'ARG1': 'you'},0,[],['ARG1'],1,1,['ARG1']
google/ewt/newsgroup/00/groups.google.com_magicworld_04c89d43ff4fd6ea_ENG_20050104_152000.xml31,13,"By the end of 2005 , you 'll feel more confident , more determined , and far more capable of making the mountains come to you !",determined,13,Who will be determined ?,,,To what degree will someone be determined ?,you,,,more,you,,,more,you,,making the mountains come to you,more determined,you,,make the mountains come to you,more,"['(ARGM-TMP*' '*' '*' '*' '*)' '*' '(ARG0*)' '(ARGM-MOD*)' '*' '*' '*' '*'
 '(ARGM-EXT*)' '(V*)' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*']","{'ARGM-TMP': [[0, 4]], 'ARG0': [[6, 6]], 'ARGM-MOD': [[7, 7]], 'ARGM-EXT': [[12, 12]]}","{'ARGM-TMP': 'By the end of 2005', 'ARG0': 'you', 'ARGM-MOD': ""'ll"", 'ARGM-EXT': 'more'}",2,"[('ARG0', 1), ('ARGM-EXT', 4)]",[],2,2,"['ARGM-TMP', 'ARG0', 'ARGM-MOD', 'ARGM-EXT']"
google/ewt/newsgroup/00/groups.google.com_alt.animals_434fe80fb3577e8e_ENG_20031011_200300.xml30,19,( He already had the traumas that his previous girlfriend Jane Asher had caused him when she made him aware of his little manliness and effeminate manners ) .,aware,19,Who was aware of something?,,What was someone aware of ?,,He,,his little manliness and effeminate manners,,He,,his little manliness and effeminate manners,,He,,his little manliness and effeminate manners,,him,,his little manliness and effeminate manners,,"['*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*'
 '(ARG0*)' '(V*)' '(ARG1*' '*' '*' '*' '*' '*' '*)' '*' '*']","{'ARG0': [[18, 18]], 'ARG1': [[20, 26]]}","{'ARG0': 'him', 'ARG1': 'of his little manliness and effeminate manners'}",1,"[('ARG1', 3)]",['ARG0'],2,2,"['ARG0', 'ARG1']"
google/ewt/newsgroup/00/groups.google.com_INTPunderground_b2c62e87877e4a22_ENG_20050906_165900.xml90,27,"We have the technology ; if you are going to spend billions of dollars touting "" FREEDOM "" why not spend those billions making all of us free ?",free,27,Who could be free ?,,,,all of us,,,,all of us,,,,all of us,,,,us,,,,"['*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*'
 '*' '*' '*' '*' '*' '*' '(ARG1*' '*' '*)' '(V*)' '*']","{'ARG1': [[24, 26]]}",{'ARG1': 'all of us'},1,"[('ARG1', 1)]",[],1,1,['ARG1']
google/ewt/newsgroup/00/groups.google.com_hiddennook_23708a8afef2f3a8_ENG_20041226_230600.xml9,15,"Listing his priorities , Abbas told supporters of the ruling Fatah party that he was determined to provide security to his people and continue the struggle against Israel 's partially completed West Bank barrier .",determined,15,Who was determined to do something?,,What was someone determined to do ?,,Abbas + he,,provide security to his people and continue the struggle against Israel 's partially completed West Bank barrier,,Abbas + he,,provide security to his people and continue the struggle against Israel 's partially completed West Bank barrier,,he was,,provide security to his people,,Abbas,,provide security to his people and continue the struggle against Israel 's partially completed West Bank barrier,,"['*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '(ARG0*)' '*' '(V*)'
 '(ARG1*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*'
 '*)' '*']","{'ARG0': [[13, 13]], 'ARG1': [[16, 33]]}","{'ARG0': 'he', 'ARG1': ""to provide security to his people and continue the struggle against Israel 's partially completed West Bank barrier""}",2,"[('ARG0', 1), ('ARG1', 3)]",[],3,2,"['ARG0', 'ARG1']"
google/ewt/newsgroup/00/groups.google.com_JokeEruption_df151b356f94881c_ENG_20050819_155700.xml52,3,"Maybe it 's true that life begins at fifty ... but everything else starts to wear out , fall out , or spread out .",true,3,What might be true ?,,,To what degree is something true ?,it + that life begins at fifty,,,Maybe it 's true,it + that life begins at fifty,,,Maybe,that life begins at fifty,,,Maybe  true,life begins at fifty,,,Maybe,"['(ARGM-ADV*)' '*' '*' '(V*)' '(ARG1*' '*' '*' '*' '*)' '*' '*' '*' '*'
 '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*']","{'ARGM-ADV': [[0, 0]], 'ARG1': [[4, 8]]}","{'ARGM-ADV': 'Maybe', 'ARG1': 'that life begins at fifty'}",1,"[('ARG1', 1)]",[],3,1,"['ARGM-ADV', 'ARG1']"
google/ewt/newsgroup/00/groups.google.com_alt.animals_1054ad831ec01b4c_ENG_20031204_144900.xml0,40,"The end of the year is a time for compiling statistics - and according to the World Conservation Union ( IUCN ) , the year 2003 has been bad news for plants and non-human animals , with many species now closer to extinction than ever before .",closer,40,What are closer ?,,What is something closer to ?,To what degree is something closer ?,many species of plants and non-human animals,,extinction,closer than ever before,many species of plants and non-human animals,,extinction,now closer than ever before,many species,,extinct,than ever before,many species,,,now closer than ever before,"['*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*'
 '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*'
 '*' '(ARG1*' '*)' '(ARGM-TMP*)' '(V*)' '(ARG2*' '*)' '(ARGM-CXN*' '*'
 '*)' '*']","{'ARG1': [[37, 38]], 'ARGM-TMP': [[39, 39]], 'ARG2': [[41, 42]], 'ARGM-CXN': [[43, 45]]}","{'ARG1': 'many species', 'ARGM-TMP': 'now', 'ARG2': 'to extinction', 'ARGM-CXN': 'than ever before'}",2,"[('ARG2', 3), ('ARGM-CXN', 4)]",['ARG1'],3,3,"['ARG1', 'ARGM-TMP', 'ARG2', 'ARGM-CXN']"
google/ewt/newsgroup/00/groups.google.com_magicworld_04c89d43ff4fd6ea_ENG_20050104_152000.xml31,18,"By the end of 2005 , you 'll feel more confident , more determined , and far more capable of making the mountains come to you !",capable,18,Who will be capable of something?,,What will someone be capable of ?,To what degree will someone be capable ?,you,,making the mountains come to you,far more,you,,making the mountains come to you,far more,you,,making the mountains come to you,far more capable,you,making the mountains come to you,making the mountains come to you,far more,"['(ARGM-TMP*' '*' '*' '*' '*)' '*' '(ARG1*)' '(ARGM-MOD*)' '*' '*' '*' '*'
 '*' '*' '*' '*' '(ARGM-EXT*' '*)' '(V*)' '(ARG2*' '*' '*' '*' '*' '*'
 '*)' '*']","{'ARGM-TMP': [[0, 4]], 'ARG1': [[6, 6]], 'ARGM-MOD': [[7, 7]], 'ARGM-EXT': [[16, 17]], 'ARG2': [[19, 25]]}","{'ARGM-TMP': 'By the end of 2005', 'ARG1': 'you', 'ARGM-MOD': ""'ll"", 'ARGM-EXT': 'far more', 'ARG2': 'of making the mountains come to you'}",3,"[('ARG1', 1), ('ARGM-EXT', 4), ('ARG2', 3)]",[],3,3,"['ARGM-TMP', 'ARG1', 'ARGM-MOD', 'ARGM-EXT', 'ARG2']"
google/ewt/newsgroup/00/groups.google.com_civicamerican_22c54c292026bfd2_ENG_20060128_072400.xml24,67,"That is what is about to happen with Judge Samuel Alito , in my opinion , because he has one tragic flaw - a very serious blind spot in his thinking - which makes him completely unacceptable for the position of Supreme Court Justice : He does not really agree with the system of "" Checks and Balances "" built into the Constitution , and he is ready to start tearing it down in order to follow the "" Unitary Executive Theory , "" which calls for vastly - increased Presidential Power at the expense of Congress and the Supreme Court .",ready,67,Who is ready to do something?,,What is someone ready to do ?,,Judge Samuel Alito +  he,,start tearing it down,,Judge Samuel Alito +  he,,start tearing it down,,he is,,start tearing it down,,Judge Samuel Alito +  he,,start tearing it down,,"['*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*'
 '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*'
 '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*'
 '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '(ARG1*)' '*' '(V*)' '(ARG2*'
 '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*'
 '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*)' '*']","{'ARG1': [[65, 65]], 'ARG2': [[68, 100]]}","{'ARG1': 'he', 'ARG2': 'to start tearing it down in order to follow the "" Unitary Executive Theory , "" which calls for vastly - increased Presidential Power at the expense of Congress and the Supreme Court'}",1,"[('ARG1', 1)]",['ARG2'],3,2,"['ARG1', 'ARG2']"
google/ewt/newsgroup/00/groups.google.com_hiddennook_edef226e24a57863_ENG_20051116_085200.xml4,6,""" It 's not cost - effective doing station flights while at the same time focusing on getting back to the Moon , "" says Brett Alexander , vice-president of Transformational Space , one of the companies hoping to launch astronauts to the ISS .",effective,6,What is not effective ?,,What is something not effective at ?,,it + doing station flights while at the same time focusing on getting back to the Moon,,cost,,it + doing station flights while at the same time focusing on getting back to the Moon,,,cost - effective,station flights,,,cost - effective,doing station flights while at the same time focusing on getting back to the Moon,,,It 's not cost - effective,"['*' '*' '*' '(ARGM-NEG*)' '(ARGM-MNR*)' '*' '(V*)' '(ARG0*' '*' '*' '*'
 '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*)' '*' '*' '*' '*' '*' '*' '*'
 '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*']","{'ARGM-NEG': [[3, 3]], 'ARGM-MNR': [[4, 4]], 'ARG0': [[7, 21]]}","{'ARGM-NEG': 'not', 'ARGM-MNR': 'cost', 'ARG0': 'doing station flights while at the same time focusing on getting back to the Moon'}",2,"[('ARGM-MNR', 3), ('ARG0', 1)]",[],3,2,"['ARGM-NEG', 'ARGM-MNR', 'ARG0']"
google/ewt/newsgroup/00/groups.google.com_DorothyofOz_7933f288ff583a7f_ENG_20050607_240200.xml0,38,"Thank you for helping us to sell out of our first issue , now let your friends and local news organizations know that a delicious reprint , with a hot spanking new cover by Greg Mannino , is available for order on our website .",available,38,What is available for something?,,What is something available for ?,,a delicious reprint of our first issue,,order on our website,,a delicious reprint of our first issue,,order on our website,,a delicious reprint,,for order on our website,,our first issue,,order on our website,,"['*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*'
 '*' '*' '*' '*' '*' '(ARG2*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*'
 '*)' '*' '*' '(V*)' '(ARGM-PRP*' '*)' '(ARGM-LOC*' '*' '*)' '*']","{'ARG2': [[23, 35]], 'ARGM-PRP': [[39, 40]], 'ARGM-LOC': [[41, 43]]}","{'ARG2': 'a delicious reprint , with a hot spanking new cover by Greg Mannino', 'ARGM-PRP': 'for order', 'ARGM-LOC': 'on our website'}",1,"[('ARGM-LOC', 3)]","['ARG2', 'ARGM-PRP']",2,3,"['ARG2', 'ARGM-PRP', 'ARGM-LOC']"
google/ewt/newsgroup/00/groups.google.com_magicworld_04c89d43ff4fd6ea_ENG_20050104_152000.xml80,26,"At times , the pressure on your job and home life may seem unbearable , but rest assured you will come through this stronger - and wiser - than ever , as more is revealed and resolved in 2005 .",wiser,26,Who will be wiser ?,Compared to what will someone be wiser ?,,,you,than ever,,,you,ever,,,you,,,than ever,you,,,,"['*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*'
 '(ARG1*)' '*' '*' '*' '*' '*' '*' '*' '(V*)' '*' '(ARGM-CXN*' '*)' '*'
 '*' '*' '*' '*' '*' '*' '*' '*' '*']","{'ARG1': [[18, 18]], 'ARGM-CXN': [[28, 29]]}","{'ARG1': 'you', 'ARGM-CXN': 'than ever'}",2,"[('ARG1', 1), ('ARGM-CXN', 2)]",[],2,2,"['ARG1', 'ARGM-CXN']"
google/ewt/newsgroup/00/groups.google.com_MeninLingerie_78adf09ead5e7e87_ENG_20041219_035800.xml2,2,I feel great in it .,great,2,Who is great in something?,,What is someone great in ?,,I,,it,,I,,it,,I,,it,,I,,it,,['(ARG1*)' '*' '(V*)' '(ARGM-LOC*' '*)' '*'],"{'ARG1': [[0, 0]], 'ARGM-LOC': [[3, 4]]}","{'ARG1': 'I', 'ARGM-LOC': 'in it'}",2,"[('ARG1', 1), ('ARGM-LOC', 3)]",[],2,2,"['ARG1', 'ARGM-LOC']"
google/ewt/newsgroup/00/groups.google.com_eHolistic_2dd76f31ceb6bfe8_ENG_20050513_224200.xml33,20,"She does n't have the funds to continue without the grant , and without these treatments , her prognosis is grim .",grim,20,What is grim ?,,,,her prognosis without these treatments,,,,her prognosis without these treatments,,,,her prognosis,,,without these treatments,her prognosis,,,,"['*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '(ARGM-MNR*' '*' '*)'
 '*' '(ARG1*' '*)' '*' '(V*)' '*']","{'ARGM-MNR': [[13, 15]], 'ARG1': [[17, 18]]}","{'ARGM-MNR': 'without these treatments', 'ARG1': 'her prognosis'}",1,"[('ARGM-MNR', 1)]",['ARG1'],1,2,"['ARGM-MNR', 'ARG1']"
google/ewt/newsgroup/00/groups.google.com_GayMarriage_0ccbb50b41a5830b_ENG_20050321_181500.xml1,17,"From what we hear from the news media , one could easily conclude that all Christians are opposed to gay marriage .",opposed,17,Who could be opposed ?,,What could someone be opposed to ?,,all Christians,,gay marriage,,all Christians,,gay marriage,,all Christians,,,,gay marriage,,,by all Christians,"['*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '(ARG0*' '*)' '*'
 '(V*)' '(ARG1*' '*' '*)' '*']","{'ARG0': [[14, 15]], 'ARG1': [[18, 20]]}","{'ARG0': 'all Christians', 'ARG1': 'to gay marriage'}",2,"[('ARG0', 1), ('ARG1', 3)]",[],2,2,"['ARG0', 'ARG1']"
google/ewt/newsgroup/00/groups.google.com_Meditation20052_06390a5f75b2e1f2_ENG_20050316_091700.xml30,3,Your muscles are loose and limp .,loose,3,What are loose ?,,,,Your muscles,,,,Your muscles,,,,Your muscles,,,,Your muscles,,,,['(ARG1*' '*)' '*' '(V*)' '*' '*' '*'],"{'ARG1': [[0, 1]]}",{'ARG1': 'Your muscles'},1,"[('ARG1', 1)]",[],1,1,['ARG1']
google/ewt/newsgroup/00/groups.google.com_alt.animals_02c2d614bfbf6b20_ENG_20050223_232900.xml56,6,"Yet people seem willing -- even eager -- to accommodate mountain lions , despite the risks .",eager,6,Who might be eager to do something?,,What might someone be eager to do ?,,people,,accommodate mountain lions,,people,,accommodate mountain lions,,people,,accommodate mountain lions,,people,,accommodate mountain lions,,"['*' '(ARG0*)' '*' '*' '*' '(ARGM-ADV*)' '(V*)' '*' '(ARG1*' '*' '*' '*'
 '*' '*' '*' '*)' '*']","{'ARG0': [[1, 1]], 'ARGM-ADV': [[5, 5]], 'ARG1': [[8, 15]]}","{'ARG0': 'people', 'ARGM-ADV': 'even', 'ARG1': 'to accommodate mountain lions , despite the risks'}",2,"[('ARG0', 1), ('ARG1', 3)]",[],2,2,"['ARG0', 'ARGM-ADV', 'ARG1']"
google/ewt/newsgroup/00/groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100.xml24,14,"This is not a rip - off , it is decent ; it 's legal ; and it is virtually no risk - it really works !!",legal,14,What is legal ?,,,,This +  it,,,,This +  it,,,,it,,,,This +  it,,,,"['*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '(ARG1*)' '*' '(V*)' '*'
 '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*']","{'ARG1': [[12, 12]]}",{'ARG1': 'it'},1,"[('ARG1', 1)]",[],2,1,['ARG1']
google/ewt/newsgroup/00/groups.google.com_GuildWars_086f0f64ab633ab3_ENG_20041111_173500.xml30,6,The game is already 100 % functional .,functional,6,What is functional ?,,,To what degree is something functional ?,The game,,,100 %,The game,,,100 %,The game,,,100 %,The game,,,100 %,['(ARG0*' '*)' '*' '(ARGM-TMP*)' '(ARGM-EXT*' '*)' '(V*)' '*'],"{'ARG0': [[0, 1]], 'ARGM-TMP': [[3, 3]], 'ARGM-EXT': [[4, 5]]}","{'ARG0': 'The game', 'ARGM-TMP': 'already', 'ARGM-EXT': '100 %'}",2,"[('ARG0', 1), ('ARGM-EXT', 4)]",[],2,2,"['ARG0', 'ARGM-TMP', 'ARGM-EXT']"
google/ewt/newsgroup/00/groups.google.com_GuildWars_086f0f64ab633ab3_ENG_20041111_173500.xml6,16,"That said , the maintenance of this forum is handled by Google and thus will remain reliable and it will ultimately give us more time to play :) .",reliable,16,What will be reliable ?,,,,this forum,,,,this forum,,,remain reliable,this forum,,,,this forum,,give us more time to play,will remain reliable,"['(ARGM-ADV*' '*)' '*' '(ARG1*' '*' '*' '*' '*)' '*' '*' '*' '*' '*'
 '(ARGM-ADV*)' '(ARGM-MOD*)' '*' '(V*)' '*' '*' '*' '*' '*' '*' '*' '*'
 '*' '*' '*' '*']","{'ARGM-ADV': [[0, 1], [13, 13]], 'ARG1': [[3, 7]], 'ARGM-MOD': [[14, 14]]}","{'ARGM-ADV': 'That said thus', 'ARG1': 'the maintenance of this forum', 'ARGM-MOD': 'will'}",1,"[('ARG1', 1)]",[],1,1,"['ARGM-ADV', 'ARG1', 'ARGM-MOD']"
google/ewt/newsgroup/00/groups.google.com_jokecity_0566f0ba3b5f748f_ENG_20051125_240500.xml6,3,""" I 'm afraid not , "" explains Winston , "" that is what we would call a GREAT LOSS . """,afraid,3,Who is not afraid ?,,,,Winston + I,,,,Winston + I,,,,Winston,,,,I,,,,"['*' '(ARG0*)' '*' '(V*)' '(ARGM-NEG*)' '*' '*' '*' '*' '*' '*' '*' '*'
 '*' '*' '*' '*' '*' '*' '*' '*' '*']","{'ARG0': [[1, 1]], 'ARGM-NEG': [[4, 4]]}","{'ARG0': 'I', 'ARGM-NEG': 'not'}",1,"[('ARG0', 1)]",[],2,1,"['ARG0', 'ARGM-NEG']"
